,Date,Text,Positive,Negative,Neutral,Compound
20,Sun Dec 03 03:56:25 +0000 2017,"Woman killed in hit-and-run in Walton, Liverpool https://t.co/KNlUJK5jZq",0.0,0.391,0.609,-0.6705
21,Sun Dec 03 03:38:31 +0000 2017,'Supermoon' to brighten up skies for stargazers https://t.co/1wjsENashj,0.293,0.0,0.707,0.4404
22,Sun Dec 03 02:58:11 +0000 2017,Jarvis Cocker's BBC 6 show to end https://t.co/mEQvKWUEon,0.0,0.0,1.0,0.0
23,Sun Dec 03 02:37:00 +0000 2017,Fresh police appeal over 1992 Birmingham family killings https://t.co/zUWJcyOjLe,0.167,0.326,0.507,-0.4939
24,Sun Dec 03 02:23:56 +0000 2017,West Coast main line disrupted after cables damaged https://t.co/5rNORSXN6N,0.0,0.266,0.734,-0.4404
25,Sun Dec 03 00:53:43 +0000 2017,Pledge to boost mental health support in schools https://t.co/A6nh8MSICF,0.435,0.0,0.565,0.6597
26,Sat Dec 02 22:55:32 +0000 2017,Social mobility board quits over lack of progress https://t.co/l6T4k3CAEn,0.231,0.19,0.579,0.128
27,Sat Dec 02 19:03:17 +0000 2017,Dalston bus ticket clash: Eight police officers injured https://t.co/IDBFyBXpzU,0.0,0.252,0.748,-0.4019
28,Sat Dec 02 18:53:04 +0000 2017,Children's commissioner may consider legal action over Universal Credit https://t.co/VBUgrOVaBF,0.339,0.0,0.661,0.4767
29,Sat Dec 02 18:01:06 +0000 2017,"RT @BBCSport: Half an hour gone.

Arsenal 0-2 Man Utd.

Live? https://t.co/KcWELiLlbu #ARSMUN https://t.co/52HL2bn4nW",0.0,0.0,1.0,0.0
30,Sat Dec 02 17:53:21 +0000 2017,"RT @bbcweather: Heading out this #SaturdayNight? It'll be generally cloudy, with a little patchy #rain for some. Ben R https://t.co/eCyp8BY…",0.0,0.0,1.0,0.0
31,Sat Dec 02 17:28:39 +0000 2017,RT @BBCNewsbeat: The family of 14-year-old Samuel Berkley say they are 'heartbroken' about his death  https://t.co/uwkibpisVX https://t.co/…,0.0,0.196,0.804,-0.5994
32,Sat Dec 02 17:02:29 +0000 2017,RT @BBCSport: What a story for Hereford FC - they'll be in the #FACup third round draw https://t.co/QWHazTLw0a https://t.co/bzxXGK2a1C,0.0,0.0,1.0,0.0
33,Sat Dec 02 16:55:38 +0000 2017,RT @BBCNewsbeat: Tangled tinsel and wonky trees: feast your eyes on the UK's dodgy Christmas displays https://t.co/HLVfpYXFIV https://t.co/…,0.0,0.101,0.899,-0.2263
34,Sat Dec 02 16:48:36 +0000 2017,"RT @BBCSport: Wales survived a remarkable comeback to end their autumn series with a nail-biting win over South Africa.

? https://t.co/pXf…",0.416,0.0,0.584,0.8934
35,Sat Dec 02 15:57:36 +0000 2017,"RT @BBCSport: Here are the half-time Premier League scores. How's your team getting on?
https://t.co/CZVS9P2SMe #bbcfootball https://t.co/U…",0.0,0.0,1.0,0.0
36,Sat Dec 02 15:29:08 +0000 2017,RT @BBCNewsbeat: Motorway Martin: PC single-handedly stops van from falling off bridge https://t.co/TREilMlB8z https://t.co/19YLSTXTNO,0.0,0.211,0.789,-0.296
